Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
319,VSFB,Starlink Group 8-1,0,LEO,SpaceX,"Success
",F9 B5♺,Success,7 April 2024,02:25
320,KSC,Bandwagon-1,0,LEO,,"Success
",F9 B5♺,Success,7 April 2024,23:16
321,CCSFS,Starlink Group 6–48,0,LEO,SpaceX,"Success
",F9 B5♺,Success,10 April 2024,05:40
322,VSFB,WSF-M 1,0,SSO,USSF,"Success
",F9 B5♺,Success,11 April 2024,14:25
323,CCSFS,Starlink Group 6–49,0,LEO,SpaceX,"Success
",F9 B5♺,Success,13 April 2024,01:40
324,KSC,Starlink Group 6–51,0,LEO,SpaceX,"Success
",F9 B5♺,Success,17 April 2024,21:26
325,CCSFS,Starlink Group 6–52,0,LEO,SpaceX,"Success
",F9 B5♺,Success,18 April 2024,22:40
326,CCSFS,Starlink Group 6–53,0,LEO,SpaceX,"Success
",F9 B5♺,Success,23 April 2024,22:17
327,KSC,Galileo,0,MEO,ESA,"Success
",F9 B5♺,No attempt,28 April 2024,00:34
328,CCSFS,Starlink Group 6–54,0,LEO,SpaceX,"Success
",F9 B5♺,Success,28 April 2024,22:08
329,VSFB,WorldView Legion 1 & 2,0,SSO,Maxar Technologies,"Success
",F9 B5♺,Success,2 May 2024,18:36
330,CCSFS,Starlink Group 6–55,0,LEO,SpaceX,"Success
",F9 B5♺,Success,3 May 2024,02:37
331,CCSFS,Starlink Group 6–57,0,LEO,SpaceX,"Success
",F9 B5♺,Success,6 May 2024,18:14
332,KSC,Starlink Group 6–56,0,LEO,SpaceX,"Success
",F9 B5♺,Success,8 May 2024,18:42
333,VSFB,Starlink Group 8-2,0,LEO,SpaceX,"Success
",F9 B5♺,Success,10 May 2024,04:30
334,CCSFS,Starlink Group 6–58,0,LEO,SpaceX,"Success
",F9 B5♺,Success,13 May 2024,00:53
335,VSFB,Starlink Group 8-7,0,LEO,SpaceX,"Success
",F9 B5♺,Success,14 May 2024,18:39
336,CCSFS,Starlink Group 6–59,0,LEO,SpaceX,"Success
",F9 B5♺,Success,18 May 2024,00:32
337,VSFB,Starshield,0,LEO,Northrop Grumman,"Success
",F9 B5♺,Success,22 May 2024,08:00
338,CCSFS,Starlink Group 6–62,0,LEO,SpaceX,"Success
",F9 B5♺,Success,23 May 2024,02:35
339,KSC,Starlink Group 6–63,0,LEO,SpaceX,"Success
",F9 B5♺,Success,24 May 2024,02:45
